@Ordspråk|Vad är
Deliska förbundet|Aten ledde denna allians mot Persien, vars skattkammare med tiden flyttades från Delos till Aten.
heloter|Den underkuvade jordbruksbefolkningen i Sparta arbetade jorden och utgjorde en stor majoritet jämfört med de fullvärdiga medborgarna.
hoplitsköld|Den stora runda skölden skyddade både bäraren och grannen i den täta falangformationen.
falanx|Tungt beväpnade soldater stod tätt med överlappande sköldar och spjut i denna klassiska grekiska formation.
ostraka|Atenska medborgare skrev namn på sådana keramikskärvor när de röstade om att landsförvisa någon genom ostracism.
Areopagen|Detta råd möttes på en klippa nära Akropolis och hade gamla aristokratiska samt rättsliga funktioner i Aten.
agora|Det offentliga torget fungerade som handelsplats, mötesplats och politiskt centrum i många grekiska stadsstater.
oraklet i Delfi|Prästinnan Pythia gav gåtfulla svar i Apollons helgedom och konsulterades av både individer och stater.
Eleusinska mysterierna|Den hemliga religiösa kulten kring Demeter och Persefone lovade invigda särskild kunskap om liv och död.
triremen|Det snabba krigsfartyget drevs av roddare i tre nivåer och hade en kraftig ramm i fören.
metoiker|Fria utlänningar bosatta i Aten hade ekonomiska rättigheter men saknade fullt medborgarskap och politisk rösträtt.
Korinthiska näset|Den smala landremsan förenar Peloponnesos med det grekiska fastlandet och var strategiskt viktig för handel och krig.
Makedoniens falang|Filip II utrustade infanteriet med mycket långa sarissaspjut och skapade en formation som dominerade grekiska slagfält.
hetärer|I klassiska Aten var dessa bildade kvinnliga sällskapsdamer ofta friare socialt än medborgarhustrur och deltog i symposier.
symposium|Män samlades efter måltiden för vin, samtal, musik och lekar i denna sociala institution.
Archon|Flera högre ämbetsmän i Aten bar denna titel, bland annat den eponyme ämbetsman vars namn användes för året.
Boeotiska förbundet|Stadsstater i regionen runt Thebe organiserades i denna federation som periodvis utmanade både Aten och Sparta.
Leuktra|Thebe besegrade 371 f.Kr. Spartas armé här genom Epaminondas ovanliga taktik med en mycket djup vänsterflygel.

@Renässansen|Vad är
[VEM]Lorenzo de’ Medici|Med tillnamnet ”den praktfulle” styrde han i Florens och stödde konstnärer och humanister under 1400-talet.
[VEM]Tizian|I Venedig blev han berömd för färgrika porträtt och religiösa motiv och arbetade för både kejsare och furstar.
[VEM]Rafael|Han målade bland annat Skolan i Aten och arbetade för flera påvar under högrenässansen.
[VEM]Niccolò Machiavelli|Som florentinsk diplomat skrev han Fursten, en kort politisk skrift om makt och härskande i en orolig italiensk tid.
humanismen|Lärda återupptäckte antika texter och betonade människans språk, historia och förmågor inom denna intellektuella rörelse.
Gutenbergs tryckpress|Lösa metalltyper och effektiv pressning gjorde det möjligt att massproducera böcker mycket snabbare i Europa från 1400-talet.
Mona Lisa|Leonardos porträtt av en kvinna med gåtfullt leende visas i Louvren och är ett av världens mest kända konstverk.
David av Michelangelo|Den enorma marmorskulpturen föreställer den bibliske hjälten före kampen mot Goliat och skapades för Florens.
Sixtinska kapellets tak|Michelangelo målade denna stora bildsvit 1508–1512, bland annat den berömda scenen där Gud sträcker sig mot Adam.
Medici|Den rika bankfamiljen dominerade periodvis Florens politik och finansierade konstnärer, arkitekter och lärda.
perspektivlära|Konstnärer utvecklade matematiska metoder för att återge tredimensionellt djup på en plan yta med flyktpunkter.
[VEM]Brunelleschi|Arkitekten löste problemet med att bygga den enorma kupolen över Florens domkyrka utan traditionell full träställning.
[VEM]Botticelli|Han målade Venus födelse och Våren med eleganta figurer inspirerade av antik mytologi.
[VEM]Donatello|Långt före Michelangelo skapade han i Florens en berömd naken bronsstaty av David.
[VEM]Erasmus av Rotterdam|Han skrev Dårskapens lov och arbetade som nederländsk humanist med en ny grekisk utgåva av Nya testamentet.
[VEM]Pico della Mirandola|Han förknippas med en berömd renässanstext om människans värdighet och förmåga att forma sig själv.
sprezzatura|Baldassare Castiglione beskrev denna idealiska hovmannakvalitet som konsten att få svåra prestationer att se ansträngningslösa ut.
kontrapost~contrapposto|I denna kroppsställning inom skulptur vilar tyngden främst på det ena benet medan höfter och axlar lutar åt motsatta håll.
sfumato|Leonardo förknippas med denna teknik där färg- och tonövergångar görs mjuka och nästan rökiga utan skarpa konturer.
Santa Maria del Fiore|Florens domkyrka bär detta namn och kröns av Brunelleschis väldiga tegelkupol.
Uffizierna|Byggnaden i Florens ritades ursprungligen för administrativa kontor men rymmer nu en av världens främsta renässanssamlingar.
[VEM]Vasari|Konstnären och arkitekten skrev ett inflytelserikt verk om italienska konstnärers liv och hjälpte till att forma idén om renässansen.
Tempietto|Bramantes lilla runda byggnad vid San Pietro in Montorio i Rom blev ett ideal för klassiskt balanserad högrenässansarkitektur.
Fuggerfamiljen|Den mäktiga tyska bank- och handelsfamiljen finansierade furstar och kejsare och blev ett symboliskt exempel på renässansens kapitalism.
[VEM]Isabella d'Este|Härskarinnan i Mantua var en inflytelserik konstmecenat som beställde verk av ledande renässanskonstnärer.

@Industriella revolutionen|Vad är
Cromford Mill|Richard Arkwrights anläggning i Derbyshire blev ett tidigt exempel på den vattenkraftsdrivna textilfabriken.
Spinning Jenny|James Hargreaves maskin lät en arbetare spinna flera trådar samtidigt och ökade textilproduktionens effektivitet.
spinning mule|Samuel Cromptons maskin kombinerade egenskaper från tidigare spinnmaskiner och kunde producera starkt och fint garn.
mekanisk vävstol|Edmund Cartwright utvecklade denna maskin som automatiserade en stor del av vävningen i textilindustrin.
koks i masugnar|Abraham Darby använde detta bränsle från stenkol i järnframställning och minskade beroendet av träkol.
Manchester|Den engelska staden blev ett centrum för bomullsindustri och fick smeknamnet Cottonopolis under den snabba industrialiseringen.
fabriksystemet|Produktion koncentrerades till stora arbetsplatser med maskiner, tidsdisciplin och lönearbetare i stället för spridda hushåll.
urbanisering|När människor lämnade landsbygden och flyttade till växande industristäder skedde denna stora befolkningsförändring.
Ludditerna|Textilarbetare förstörde maskiner i början av 1800-talet i protest mot arbetsvillkor och förändringar som hotade deras försörjning.
Stephensons Rocket|Detta tidiga ånglok vann Rainhill Trials 1829 och visade potentialen för snabb järnvägstrafik.
Bessemerprocessen|Genom att blåsa luft genom smält järn kunde stål framställas betydligt snabbare och billigare med denna 1800-talsmetod.
flygande skytteln|John Kays uppfinning från 1733 gjorde vävningen snabbare genom att skytteln kunde skjutas över bredare vävstolar.
kanalmanin|Före järnvägarnas genombrott byggdes ett omfattande nät av vattenvägar i Storbritannien för billig transport av tunga varor.
Enclosure-rörelsen|Gemensamt brukad jord i England inhägnades och samlades i privata ägor, vilket förändrade både jordbruk och landsbygdssamhälle.
barnarbete i fabriker|Långa arbetsdagar för mycket unga arbetare blev ett av industrialiseringens mest kritiserade sociala problem.
Factory Acts|Brittiska lagar från 1800-talet begränsade stegvis arbetstid och villkor, särskilt för barn och kvinnor i fabriker.
Chartisterna|Den brittiska arbetarrörelsen krävde på 1830- och 1840-talen bland annat allmän manlig rösträtt och hemliga val.
Corn Laws|De brittiska spannmålstullarna gynnade jordägare men höjde matpriser och upphävdes 1846 efter intensiv politisk kamp.
Great Exhibition 1851|I Crystal Palace i London visades industrivaror, maskiner och uppfinningar från många delar av världen.
puddling|Denna metod gjorde det möjligt att omvandla tackjärn till smidbart järn genom omrörning i en särskild ugn.
interchangeable parts|Standardiserade delar med samma mått gjorde reparationer enklare och lade grunden för modern massproduktion.
fabriksinspektörer|Staten började anställa dessa tjänstemän för att kontrollera att nya arbetslagar verkligen följdes på industriarbetsplatser.
New Lanark|Robert Owen drev denna skotska fabriksby och experimenterade med bättre bostäder, utbildning och arbetsvillkor.
[VEM]Richard Arkwright|Han utvecklade vattenramen och byggde stora mekaniserade spinnerier som blev modeller för det moderna fabriksystemet.
Coalbrookdale|Denna engelska dal blev ett tidigt centrum för järnindustri och är känd för Iron Bridge, världens första stora gjutjärnsbro.

@Pirater och sjörövare|Vad är
[VEM]Svartskägg|Edward Teach satte skräck i sjöfarten kring Karibien och Nordamerikas kust och gjorde sitt mörka skägg till en del av sin skräckinjagande image.
[VEM]Anne Bonny|Hon föddes på Irland och seglade som pirat i Karibien tillsammans med Calico Jack och Mary Read i början av 1700-talet.
[VEM]Calico Jack|John Rackham blev känd för färgstarka kläder, en flagga med dödskalle och svärd samt sitt samarbete med två kvinnliga pirater.
Kapare|En privat sjöman med officiellt tillstånd från en stat kunde angripa fiendens handelsfartyg under krig utan att formellt räknas som pirat.
Jolly Roger|Detta samlingsnamn används för klassiska piratflaggor med dödskallar, skelett eller vapen på svart eller röd botten.
[VEM]Henry Morgan|Han angrep spanska besittningar i Karibien som walesisk kapare och blev senare viceguvernör på Jamaica.
[VEM]Bartholomew Roberts|Under en kort men mycket framgångsrik piratkarriär erövrade han hundratals fartyg kring Afrika och Amerika.
[VEM]Mary Read|Hon tjänstgjorde en tid utklädd till man och seglade senare som pirat tillsammans med Anne Bonny.
Nassau|Bahamas huvudort blev under tidigt 1700-tal en viktig bas och fristad för många engelskspråkiga pirater.
Queen Anne's Revenge|Svartskäggs mest berömda fartyg var ursprungligen ett franskt slavskepp innan det togs över och beväpnades kraftigt.
[VEM]William Kidd|Han skickades ut som skotsk kapare men anklagades senare för piratverksamhet och avrättades i London.
[VEM]Edward Low|Denne engelske pirat blev ökänd under 1720-talet för extrem brutalitet mot fångar och besättningar.
[VEM]Charles Vane|Piraten trotsade kunglig benådning i Nassau och fortsatte sin verksamhet tills han tillfångatogs och hängdes.
piratkod|Många besättningar skrev ned regler om byte, ersättning för skador, disciplin och hur kaptenen kunde avsättas.
letter of marque|Ett officiellt brev från en regering gav ett privat fartyg laglig rätt att angripa fiendens sjöfart under krig.
Marooning|Straffet innebar att en person lämnades ensam på en ö eller ödslig kust med mycket begränsade förnödenheter.
Spanish Main|Engelskspråkiga sjömän använde detta namn för Spaniens kust- och handelsområden kring Karibiska havet och norra Sydamerika.
Treasure Island|Robert Louis Stevensons roman med Long John Silver formade senare generationers bild av pirater, skattkartor och gömda kistor.
[VEM]Long John Silver|I Stevensons roman är han en enbent skeppskock och pirat som är både charmig, farlig och skicklig på att manipulera sin omgivning.
[VEM]Henry Every~Henry Avery|Denne engelske pirat plundrade stormogulens fartyg Ganj-i-Sawai 1695 och blev föremål för en omfattande internationell jakt.
piratrepubliken i Nassau|Under några år kring 1715–1718 dominerade löst organiserade piratbesättningar denna brittiska koloni på Bahamas.
[VEM]Woodes Rogers|Efter tiden som kapare blev han guvernör på Bahamas och bidrog starkt till att avsluta piraternas kontroll över Nassau.
Whydah Gally|Fartyget togs av piraten Samuel Bellamy och sjönk 1717 utanför Cape Cod; vraket har gett stora arkeologiska fynd.
[VEM]Samuel Bellamy|Han kallades ibland Black Sam och dog när hans skepp Whydah gick under i en storm.
[VEM]Amaro Pargo|Från Kanarieöarna byggde han som spansk kapare upp en förmögenhet på atlantisk handel och fick senare en nästan piratlik legendstatus.

@Riddare och borgar|Vad är
en lans|Det långa stötvapnet bars av beridna riddare och användes särskilt i kavallerianfall och tornerspel.
en vindbrygga|Den rörliga bron kunde höjas för att stänga en borgport och göra det svårare för angripare att passera vallgraven.
ett porthus|Borgens befästa ingång innehöll ofta portar, fällgaller, skottgluggar och rum för vakter.
ett fällgaller|Ett tungt galler av trä eller järn kunde släppas ned vertikalt i en borgport för att blockera passage.
